,filedir,S_id,label
81,./image_patches/low\S01\patch53.png,S01,low
82,./image_patches/low\S01\patch54.png,S01,low
83,./image_patches/low\S01\patch55.png,S01,low
84,./image_patches/low\S01\patch56.png,S01,low
85,./image_patches/low\S01\patch57.png,S01,low
86,./image_patches/low\S01\patch58.png,S01,low
87,./image_patches/low\S01\patch59.png,S01,low
88,./image_patches/low\S01\patch60.png,S01,low
89,./image_patches/low\S01\patch61.png,S01,low
90,./image_patches/low\S01\patch62.png,S01,low
91,./image_patches/low\S01\patch63.png,S01,low
92,./image_patches/low\S01\patch64.png,S01,low
93,./image_patches/low\S01\patch65.png,S01,low
94,./image_patches/low\S01\patch66.png,S01,low
95,./image_patches/low\S01\patch67.png,S01,low
96,./image_patches/low\S01\patch68.png,S01,low
97,./image_patches/low\S01\patch69.png,S01,low
98,./image_patches/low\S01\patch70.png,S01,low
99,./image_patches/low\S01\patch71.png,S01,low
100,./image_patches/low\S01\patch72.png,S01,low
101,./image_patches/low\S01\patch73.png,S01,low
102,./image_patches/low\S01\patch74.png,S01,low
103,./image_patches/low\S01\patch75.png,S01,low
104,./image_patches/low\S01\patch76.png,S01,low
105,./image_patches/low\S01\patch77.png,S01,low
106,./image_patches/low\S01\patch78.png,S01,low
107,./image_patches/low\S01\patch79.png,S01,low
108,./image_patches/low\S01\patch80.png,S01,low
109,./image_patches/low\S01\patch81.png,S01,low
110,./image_patches/low\S01\patch82.png,S01,low
111,./image_patches/low\S01\patch83.png,S01,low
112,./image_patches/low\S01\patch84.png,S01,low
113,./image_patches/low\S01\patch85.png,S01,low
114,./image_patches/low\S01\patch86.png,S01,low
115,./image_patches/low\S01\patch87.png,S01,low
116,./image_patches/low\S01\patch88.png,S01,low
117,./image_patches/low\S01\patch89.png,S01,low
118,./image_patches/low\S01\patch90.png,S01,low
119,./image_patches/low\S01\patch91.png,S01,low
120,./image_patches/low\S01\patch92.png,S01,low
121,./image_patches/low\S01\patch93.png,S01,low
122,./image_patches/low\S01\patch94.png,S01,low
123,./image_patches/low\S01\patch95.png,S01,low
124,./image_patches/low\S01\patch96.png,S01,low
125,./image_patches/low\S01\patch97.png,S01,low
126,./image_patches/low\S01\patch98.png,S01,low
127,./image_patches/low\S01\patch99.png,S01,low
128,./image_patches/low\S02\patch01.png,S02,low
129,./image_patches/low\S02\patch02.png,S02,low
130,./image_patches/low\S02\patch03.png,S02,low
131,./image_patches/low\S02\patch04.png,S02,low
132,./image_patches/low\S02\patch05.png,S02,low
133,./image_patches/low\S02\patch06.png,S02,low
134,./image_patches/low\S02\patch07.png,S02,low
135,./image_patches/low\S02\patch08.png,S02,low
136,./image_patches/low\S02\patch09.png,S02,low
137,./image_patches/low\S02\patch10.png,S02,low
138,./image_patches/low\S02\patch100.png,S02,low
139,./image_patches/low\S02\patch101.png,S02,low
140,./image_patches/low\S02\patch102.png,S02,low
141,./image_patches/low\S02\patch103.png,S02,low
142,./image_patches/low\S02\patch104.png,S02,low
143,./image_patches/low\S02\patch105.png,S02,low
144,./image_patches/low\S02\patch106.png,S02,low
145,./image_patches/low\S02\patch107.png,S02,low
146,./image_patches/low\S02\patch108.png,S02,low
147,./image_patches/low\S02\patch109.png,S02,low
148,./image_patches/low\S02\patch11.png,S02,low
149,./image_patches/low\S02\patch110.png,S02,low
150,./image_patches/low\S02\patch111.png,S02,low
151,./image_patches/low\S02\patch112.png,S02,low
152,./image_patches/low\S02\patch113.png,S02,low
153,./image_patches/low\S02\patch114.png,S02,low
154,./image_patches/low\S02\patch115.png,S02,low
155,./image_patches/low\S02\patch116.png,S02,low
156,./image_patches/low\S02\patch117.png,S02,low
157,./image_patches/low\S02\patch118.png,S02,low
158,./image_patches/low\S02\patch119.png,S02,low
159,./image_patches/low\S02\patch12.png,S02,low
160,./image_patches/low\S02\patch120.png,S02,low
161,./image_patches/low\S02\patch121.png,S02,low
162,./image_patches/low\S02\patch122.png,S02,low
163,./image_patches/low\S02\patch123.png,S02,low
164,./image_patches/low\S02\patch124.png,S02,low
165,./image_patches/low\S02\patch125.png,S02,low
166,./image_patches/low\S02\patch126.png,S02,low
167,./image_patches/low\S02\patch127.png,S02,low
168,./image_patches/low\S02\patch128.png,S02,low
169,./image_patches/low\S02\patch13.png,S02,low
170,./image_patches/low\S02\patch14.png,S02,low
171,./image_patches/low\S02\patch15.png,S02,low
172,./image_patches/low\S02\patch16.png,S02,low
173,./image_patches/low\S02\patch17.png,S02,low
174,./image_patches/low\S02\patch18.png,S02,low
175,./image_patches/low\S02\patch19.png,S02,low
176,./image_patches/low\S02\patch20.png,S02,low
177,./image_patches/low\S02\patch21.png,S02,low
178,./image_patches/low\S02\patch22.png,S02,low
179,./image_patches/low\S02\patch23.png,S02,low
180,./image_patches/low\S02\patch24.png,S02,low
181,./image_patches/low\S02\patch25.png,S02,low
182,./image_patches/low\S02\patch26.png,S02,low
183,./image_patches/low\S02\patch27.png,S02,low
184,./image_patches/low\S02\patch28.png,S02,low
185,./image_patches/low\S02\patch29.png,S02,low
186,./image_patches/low\S02\patch30.png,S02,low
187,./image_patches/low\S02\patch31.png,S02,low
188,./image_patches/low\S02\patch32.png,S02,low
189,./image_patches/low\S02\patch33.png,S02,low
190,./image_patches/low\S02\patch34.png,S02,low
191,./image_patches/low\S02\patch35.png,S02,low
192,./image_patches/low\S02\patch36.png,S02,low
193,./image_patches/low\S02\patch37.png,S02,low
194,./image_patches/low\S02\patch38.png,S02,low
195,./image_patches/low\S02\patch39.png,S02,low
196,./image_patches/low\S02\patch40.png,S02,low
197,./image_patches/low\S02\patch41.png,S02,low
198,./image_patches/low\S02\patch42.png,S02,low
199,./image_patches/low\S02\patch43.png,S02,low
200,./image_patches/low\S02\patch44.png,S02,low
201,./image_patches/low\S02\patch45.png,S02,low
202,./image_patches/low\S02\patch46.png,S02,low
203,./image_patches/low\S02\patch47.png,S02,low
204,./image_patches/low\S02\patch48.png,S02,low
205,./image_patches/low\S02\patch49.png,S02,low
206,./image_patches/low\S02\patch50.png,S02,low
207,./image_patches/low\S02\patch51.png,S02,low
208,./image_patches/low\S02\patch52.png,S02,low
209,./image_patches/low\S02\patch53.png,S02,low
210,./image_patches/low\S02\patch54.png,S02,low
211,./image_patches/low\S02\patch55.png,S02,low
212,./image_patches/low\S02\patch56.png,S02,low
213,./image_patches/low\S02\patch57.png,S02,low
214,./image_patches/low\S02\patch58.png,S02,low
215,./image_patches/low\S02\patch59.png,S02,low
216,./image_patches/low\S02\patch60.png,S02,low
217,./image_patches/low\S02\patch61.png,S02,low
218,./image_patches/low\S02\patch62.png,S02,low
219,./image_patches/low\S02\patch63.png,S02,low
220,./image_patches/low\S02\patch64.png,S02,low
221,./image_patches/low\S02\patch65.png,S02,low
222,./image_patches/low\S02\patch66.png,S02,low
223,./image_patches/low\S02\patch67.png,S02,low
224,./image_patches/low\S02\patch68.png,S02,low
225,./image_patches/low\S02\patch69.png,S02,low
226,./image_patches/low\S02\patch70.png,S02,low
227,./image_patches/low\S02\patch71.png,S02,low
228,./image_patches/low\S02\patch72.png,S02,low
229,./image_patches/low\S02\patch73.png,S02,low
230,./image_patches/low\S02\patch74.png,S02,low
231,./image_patches/low\S02\patch75.png,S02,low
232,./image_patches/low\S02\patch76.png,S02,low
233,./image_patches/low\S02\patch77.png,S02,low
234,./image_patches/low\S02\patch78.png,S02,low
235,./image_patches/low\S02\patch79.png,S02,low
236,./image_patches/low\S02\patch80.png,S02,low
237,./image_patches/low\S02\patch81.png,S02,low
238,./image_patches/low\S02\patch82.png,S02,low
239,./image_patches/low\S02\patch83.png,S02,low
240,./image_patches/low\S02\patch84.png,S02,low
241,./image_patches/low\S02\patch85.png,S02,low
242,./image_patches/low\S02\patch86.png,S02,low
243,./image_patches/low\S02\patch87.png,S02,low
244,./image_patches/low\S02\patch88.png,S02,low
245,./image_patches/low\S02\patch89.png,S02,low
246,./image_patches/low\S02\patch90.png,S02,low
247,./image_patches/low\S02\patch91.png,S02,low
248,./image_patches/low\S02\patch92.png,S02,low
249,./image_patches/low\S02\patch93.png,S02,low
250,./image_patches/low\S02\patch94.png,S02,low
251,./image_patches/low\S02\patch95.png,S02,low
252,./image_patches/low\S02\patch96.png,S02,low
253,./image_patches/low\S02\patch97.png,S02,low
254,./image_patches/low\S02\patch98.png,S02,low
255,./image_patches/low\S02\patch99.png,S02,low
256,./image_patches/low\S03\patch01.png,S03,low
257,./image_patches/low\S03\patch02.png,S03,low
258,./image_patches/low\S03\patch03.png,S03,low
259,./image_patches/low\S03\patch04.png,S03,low
260,./image_patches/low\S03\patch05.png,S03,low
261,./image_patches/low\S03\patch06.png,S03,low
262,./image_patches/low\S03\patch07.png,S03,low
263,./image_patches/low\S03\patch08.png,S03,low
264,./image_patches/low\S03\patch09.png,S03,low
265,./image_patches/low\S03\patch10.png,S03,low
266,./image_patches/low\S03\patch100.png,S03,low
267,./image_patches/low\S03\patch101.png,S03,low
268,./image_patches/low\S03\patch102.png,S03,low
269,./image_patches/low\S03\patch103.png,S03,low
270,./image_patches/low\S03\patch104.png,S03,low
271,./image_patches/low\S03\patch105.png,S03,low
272,./image_patches/low\S03\patch106.png,S03,low
273,./image_patches/low\S03\patch107.png,S03,low
274,./image_patches/low\S03\patch108.png,S03,low
275,./image_patches/low\S03\patch109.png,S03,low
276,./image_patches/low\S03\patch11.png,S03,low
277,./image_patches/low\S03\patch110.png,S03,low
278,./image_patches/low\S03\patch111.png,S03,low
279,./image_patches/low\S03\patch112.png,S03,low
280,./image_patches/low\S03\patch113.png,S03,low
281,./image_patches/low\S03\patch114.png,S03,low
282,./image_patches/low\S03\patch115.png,S03,low
283,./image_patches/low\S03\patch116.png,S03,low
284,./image_patches/low\S03\patch117.png,S03,low
285,./image_patches/low\S03\patch118.png,S03,low
286,./image_patches/low\S03\patch119.png,S03,low
287,./image_patches/low\S03\patch12.png,S03,low
288,./image_patches/low\S03\patch120.png,S03,low
289,./image_patches/low\S03\patch121.png,S03,low
290,./image_patches/low\S03\patch122.png,S03,low
291,./image_patches/low\S03\patch123.png,S03,low
292,./image_patches/low\S03\patch124.png,S03,low
293,./image_patches/low\S03\patch125.png,S03,low
294,./image_patches/low\S03\patch126.png,S03,low
295,./image_patches/low\S03\patch127.png,S03,low
296,./image_patches/low\S03\patch128.png,S03,low
297,./image_patches/low\S03\patch13.png,S03,low
298,./image_patches/low\S03\patch14.png,S03,low
299,./image_patches/low\S03\patch15.png,S03,low
300,./image_patches/low\S03\patch16.png,S03,low
301,./image_patches/low\S03\patch17.png,S03,low
302,./image_patches/low\S03\patch18.png,S03,low
303,./image_patches/low\S03\patch19.png,S03,low
304,./image_patches/low\S03\patch20.png,S03,low
305,./image_patches/low\S03\patch21.png,S03,low
306,./image_patches/low\S03\patch22.png,S03,low
307,./image_patches/low\S03\patch23.png,S03,low
308,./image_patches/low\S03\patch24.png,S03,low
309,./image_patches/low\S03\patch25.png,S03,low
310,./image_patches/low\S03\patch26.png,S03,low
311,./image_patches/low\S03\patch27.png,S03,low
312,./image_patches/low\S03\patch28.png,S03,low
313,./image_patches/low\S03\patch29.png,S03,low
314,./image_patches/low\S03\patch30.png,S03,low
315,./image_patches/low\S03\patch31.png,S03,low
316,./image_patches/low\S03\patch32.png,S03,low
317,./image_patches/low\S03\patch33.png,S03,low
318,./image_patches/low\S03\patch34.png,S03,low
319,./image_patches/low\S03\patch35.png,S03,low
320,./image_patches/low\S03\patch36.png,S03,low
321,./image_patches/low\S03\patch37.png,S03,low
322,./image_patches/low\S03\patch38.png,S03,low
323,./image_patches/low\S03\patch39.png,S03,low
324,./image_patches/low\S03\patch40.png,S03,low
325,./image_patches/low\S03\patch41.png,S03,low
326,./image_patches/low\S03\patch42.png,S03,low
327,./image_patches/low\S03\patch43.png,S03,low
328,./image_patches/low\S03\patch44.png,S03,low
329,./image_patches/low\S03\patch45.png,S03,low
330,./image_patches/low\S03\patch46.png,S03,low
331,./image_patches/low\S03\patch47.png,S03,low
332,./image_patches/low\S03\patch48.png,S03,low
333,./image_patches/low\S03\patch49.png,S03,low
334,./image_patches/low\S03\patch50.png,S03,low
335,./image_patches/low\S03\patch51.png,S03,low
336,./image_patches/low\S03\patch52.png,S03,low
337,./image_patches/low\S03\patch53.png,S03,low
338,./image_patches/low\S03\patch54.png,S03,low
339,./image_patches/low\S03\patch55.png,S03,low
340,./image_patches/low\S03\patch56.png,S03,low
341,./image_patches/low\S03\patch57.png,S03,low
342,./image_patches/low\S03\patch58.png,S03,low
343,./image_patches/low\S03\patch59.png,S03,low
344,./image_patches/low\S03\patch60.png,S03,low
345,./image_patches/low\S03\patch61.png,S03,low
346,./image_patches/low\S03\patch62.png,S03,low
347,./image_patches/low\S03\patch63.png,S03,low
348,./image_patches/low\S03\patch64.png,S03,low
349,./image_patches/low\S03\patch65.png,S03,low
350,./image_patches/low\S03\patch66.png,S03,low
351,./image_patches/low\S03\patch67.png,S03,low
352,./image_patches/low\S03\patch68.png,S03,low
353,./image_patches/low\S03\patch69.png,S03,low
354,./image_patches/low\S03\patch70.png,S03,low
355,./image_patches/low\S03\patch71.png,S03,low
356,./image_patches/low\S03\patch72.png,S03,low
357,./image_patches/low\S03\patch73.png,S03,low
358,./image_patches/low\S03\patch74.png,S03,low
359,./image_patches/low\S03\patch75.png,S03,low
360,./image_patches/low\S03\patch76.png,S03,low
361,./image_patches/low\S03\patch77.png,S03,low
362,./image_patches/low\S03\patch78.png,S03,low
363,./image_patches/low\S03\patch79.png,S03,low
364,./image_patches/low\S03\patch80.png,S03,low
365,./image_patches/low\S03\patch81.png,S03,low
366,./image_patches/low\S03\patch82.png,S03,low
367,./image_patches/low\S03\patch83.png,S03,low
368,./image_patches/low\S03\patch84.png,S03,low
369,./image_patches/low\S03\patch85.png,S03,low
370,./image_patches/low\S03\patch86.png,S03,low
371,./image_patches/low\S03\patch87.png,S03,low
372,./image_patches/low\S03\patch88.png,S03,low
373,./image_patches/low\S03\patch89.png,S03,low
374,./image_patches/low\S03\patch90.png,S03,low
375,./image_patches/low\S03\patch91.png,S03,low
376,./image_patches/low\S03\patch92.png,S03,low
377,./image_patches/low\S03\patch93.png,S03,low
378,./image_patches/low\S03\patch94.png,S03,low
379,./image_patches/low\S03\patch95.png,S03,low
380,./image_patches/low\S03\patch96.png,S03,low
381,./image_patches/low\S03\patch97.png,S03,low
382,./image_patches/low\S03\patch98.png,S03,low
383,./image_patches/low\S03\patch99.png,S03,low
384,./image_patches/low\S04\patch01.png,S04,low
385,./image_patches/low\S04\patch02.png,S04,low
386,./image_patches/low\S04\patch03.png,S04,low
387,./image_patches/low\S04\patch04.png,S04,low
388,./image_patches/low\S04\patch05.png,S04,low
389,./image_patches/low\S04\patch06.png,S04,low
390,./image_patches/low\S04\patch07.png,S04,low
391,./image_patches/low\S04\patch08.png,S04,low
392,./image_patches/low\S04\patch09.png,S04,low
393,./image_patches/low\S04\patch10.png,S04,low
394,./image_patches/low\S04\patch100.png,S04,low
395,./image_patches/low\S04\patch101.png,S04,low
396,./image_patches/low\S04\patch102.png,S04,low
397,./image_patches/low\S04\patch103.png,S04,low
398,./image_patches/low\S04\patch104.png,S04,low
399,./image_patches/low\S04\patch105.png,S04,low
400,./image_patches/low\S04\patch106.png,S04,low
401,./image_patches/low\S04\patch107.png,S04,low
402,./image_patches/low\S04\patch108.png,S04,low
403,./image_patches/low\S04\patch109.png,S04,low
404,./image_patches/low\S04\patch11.png,S04,low
405,./image_patches/low\S04\patch110.png,S04,low
406,./image_patches/low\S04\patch111.png,S04,low
407,./image_patches/low\S04\patch112.png,S04,low
408,./image_patches/low\S04\patch113.png,S04,low
409,./image_patches/low\S04\patch114.png,S04,low
410,./image_patches/low\S04\patch115.png,S04,low
411,./image_patches/low\S04\patch116.png,S04,low
412,./image_patches/low\S04\patch117.png,S04,low
413,./image_patches/low\S04\patch118.png,S04,low
414,./image_patches/low\S04\patch119.png,S04,low
415,./image_patches/low\S04\patch12.png,S04,low
416,./image_patches/low\S04\patch120.png,S04,low
417,./image_patches/low\S04\patch121.png,S04,low
418,./image_patches/low\S04\patch122.png,S04,low
419,./image_patches/low\S04\patch123.png,S04,low
420,./image_patches/low\S04\patch124.png,S04,low
421,./image_patches/low\S04\patch125.png,S04,low
422,./image_patches/low\S04\patch126.png,S04,low
423,./image_patches/low\S04\patch127.png,S04,low
424,./image_patches/low\S04\patch128.png,S04,low
425,./image_patches/low\S04\patch13.png,S04,low
426,./image_patches/low\S04\patch14.png,S04,low
427,./image_patches/low\S04\patch15.png,S04,low
428,./image_patches/low\S04\patch16.png,S04,low
429,./image_patches/low\S04\patch17.png,S04,low
430,./image_patches/low\S04\patch18.png,S04,low
431,./image_patches/low\S04\patch19.png,S04,low
432,./image_patches/low\S04\patch20.png,S04,low
433,./image_patches/low\S04\patch21.png,S04,low
434,./image_patches/low\S04\patch22.png,S04,low
435,./image_patches/low\S04\patch23.png,S04,low
436,./image_patches/low\S04\patch24.png,S04,low
437,./image_patches/low\S04\patch25.png,S04,low
438,./image_patches/low\S04\patch26.png,S04,low
439,./image_patches/low\S04\patch27.png,S04,low
440,./image_patches/low\S04\patch28.png,S04,low
441,./image_patches/low\S04\patch29.png,S04,low
442,./image_patches/low\S04\patch30.png,S04,low
443,./image_patches/low\S04\patch31.png,S04,low
444,./image_patches/low\S04\patch32.png,S04,low
445,./image_patches/low\S04\patch33.png,S04,low
446,./image_patches/low\S04\patch34.png,S04,low
447,./image_patches/low\S04\patch35.png,S04,low
448,./image_patches/low\S04\patch36.png,S04,low
449,./image_patches/low\S04\patch37.png,S04,low
450,./image_patches/low\S04\patch38.png,S04,low
451,./image_patches/low\S04\patch39.png,S04,low
452,./image_patches/low\S04\patch40.png,S04,low
453,./image_patches/low\S04\patch41.png,S04,low
454,./image_patches/low\S04\patch42.png,S04,low
455,./image_patches/low\S04\patch43.png,S04,low
456,./image_patches/low\S04\patch44.png,S04,low
457,./image_patches/low\S04\patch45.png,S04,low
458,./image_patches/low\S04\patch46.png,S04,low
459,./image_patches/low\S04\patch47.png,S04,low
460,./image_patches/low\S04\patch48.png,S04,low
461,./image_patches/low\S04\patch49.png,S04,low
462,./image_patches/low\S04\patch50.png,S04,low
463,./image_patches/low\S04\patch51.png,S04,low
464,./image_patches/low\S04\patch52.png,S04,low
465,./image_patches/low\S04\patch53.png,S04,low
466,./image_patches/low\S04\patch54.png,S04,low
467,./image_patches/low\S04\patch55.png,S04,low
468,./image_patches/low\S04\patch56.png,S04,low
469,./image_patches/low\S04\patch57.png,S04,low
470,./image_patches/low\S04\patch58.png,S04,low
471,./image_patches/low\S04\patch59.png,S04,low
472,./image_patches/low\S04\patch60.png,S04,low
473,./image_patches/low\S04\patch61.png,S04,low
474,./image_patches/low\S04\patch62.png,S04,low
475,./image_patches/low\S04\patch63.png,S04,low
476,./image_patches/low\S04\patch64.png,S04,low
477,./image_patches/low\S04\patch65.png,S04,low
478,./image_patches/low\S04\patch66.png,S04,low
479,./image_patches/low\S04\patch67.png,S04,low
480,./image_patches/low\S04\patch68.png,S04,low
481,./image_patches/low\S04\patch69.png,S04,low
482,./image_patches/low\S04\patch70.png,S04,low
483,./image_patches/low\S04\patch71.png,S04,low
484,./image_patches/low\S04\patch72.png,S04,low
485,./image_patches/low\S04\patch73.png,S04,low
486,./image_patches/low\S04\patch74.png,S04,low
487,./image_patches/low\S04\patch75.png,S04,low
488,./image_patches/low\S04\patch76.png,S04,low
489,./image_patches/low\S04\patch77.png,S04,low
490,./image_patches/low\S04\patch78.png,S04,low
491,./image_patches/low\S04\patch79.png,S04,low
492,./image_patches/low\S04\patch80.png,S04,low
493,./image_patches/low\S04\patch81.png,S04,low
494,./image_patches/low\S04\patch82.png,S04,low
495,./image_patches/low\S04\patch83.png,S04,low
496,./image_patches/low\S04\patch84.png,S04,low
497,./image_patches/low\S04\patch85.png,S04,low
498,./image_patches/low\S04\patch86.png,S04,low
499,./image_patches/low\S04\patch87.png,S04,low
500,./image_patches/low\S04\patch88.png,S04,low
501,./image_patches/low\S04\patch89.png,S04,low
502,./image_patches/low\S04\patch90.png,S04,low
503,./image_patches/low\S04\patch91.png,S04,low
504,./image_patches/low\S04\patch92.png,S04,low
505,./image_patches/low\S04\patch93.png,S04,low
506,./image_patches/low\S04\patch94.png,S04,low
507,./image_patches/low\S04\patch95.png,S04,low
508,./image_patches/low\S04\patch96.png,S04,low
509,./image_patches/low\S04\patch97.png,S04,low
510,./image_patches/low\S04\patch98.png,S04,low
511,./image_patches/low\S04\patch99.png,S04,low
512,./image_patches/low\S05\patch01.png,S05,low
513,./image_patches/low\S05\patch02.png,S05,low
514,./image_patches/low\S05\patch03.png,S05,low
515,./image_patches/low\S05\patch04.png,S05,low
516,./image_patches/low\S05\patch05.png,S05,low
517,./image_patches/low\S05\patch06.png,S05,low
518,./image_patches/low\S05\patch07.png,S05,low
519,./image_patches/low\S05\patch08.png,S05,low
520,./image_patches/low\S05\patch09.png,S05,low
521,./image_patches/low\S05\patch10.png,S05,low
522,./image_patches/low\S05\patch100.png,S05,low
523,./image_patches/low\S05\patch101.png,S05,low
524,./image_patches/low\S05\patch102.png,S05,low
525,./image_patches/low\S05\patch103.png,S05,low
526,./image_patches/low\S05\patch104.png,S05,low
527,./image_patches/low\S05\patch105.png,S05,low
528,./image_patches/low\S05\patch106.png,S05,low
529,./image_patches/low\S05\patch107.png,S05,low
530,./image_patches/low\S05\patch108.png,S05,low
531,./image_patches/low\S05\patch109.png,S05,low
532,./image_patches/low\S05\patch11.png,S05,low
533,./image_patches/low\S05\patch110.png,S05,low
534,./image_patches/low\S05\patch111.png,S05,low
535,./image_patches/low\S05\patch112.png,S05,low
536,./image_patches/low\S05\patch113.png,S05,low
537,./image_patches/low\S05\patch114.png,S05,low
538,./image_patches/low\S05\patch115.png,S05,low
539,./image_patches/low\S05\patch116.png,S05,low
540,./image_patches/low\S05\patch117.png,S05,low
541,./image_patches/low\S05\patch118.png,S05,low
542,./image_patches/low\S05\patch119.png,S05,low
543,./image_patches/low\S05\patch12.png,S05,low
544,./image_patches/low\S05\patch120.png,S05,low
545,./image_patches/low\S05\patch121.png,S05,low
546,./image_patches/low\S05\patch122.png,S05,low
547,./image_patches/low\S05\patch123.png,S05,low
548,./image_patches/low\S05\patch124.png,S05,low
549,./image_patches/low\S05\patch125.png,S05,low
550,./image_patches/low\S05\patch126.png,S05,low
551,./image_patches/low\S05\patch127.png,S05,low
552,./image_patches/low\S05\patch128.png,S05,low
553,./image_patches/low\S05\patch13.png,S05,low
554,./image_patches/low\S05\patch14.png,S05,low
555,./image_patches/low\S05\patch15.png,S05,low
556,./image_patches/low\S05\patch16.png,S05,low
557,./image_patches/low\S05\patch17.png,S05,low
558,./image_patches/low\S05\patch18.png,S05,low
559,./image_patches/low\S05\patch19.png,S05,low
560,./image_patches/low\S05\patch20.png,S05,low
561,./image_patches/low\S05\patch21.png,S05,low
562,./image_patches/low\S05\patch22.png,S05,low
563,./image_patches/low\S05\patch23.png,S05,low
564,./image_patches/low\S05\patch24.png,S05,low
565,./image_patches/low\S05\patch25.png,S05,low
566,./image_patches/low\S05\patch26.png,S05,low
567,./image_patches/low\S05\patch27.png,S05,low
568,./image_patches/low\S05\patch28.png,S05,low
569,./image_patches/low\S05\patch29.png,S05,low
570,./image_patches/low\S05\patch30.png,S05,low
571,./image_patches/low\S05\patch31.png,S05,low
572,./image_patches/low\S05\patch32.png,S05,low
573,./image_patches/low\S05\patch33.png,S05,low
574,./image_patches/low\S05\patch34.png,S05,low
575,./image_patches/low\S05\patch35.png,S05,low
576,./image_patches/low\S05\patch36.png,S05,low
577,./image_patches/low\S05\patch37.png,S05,low
578,./image_patches/low\S05\patch38.png,S05,low
579,./image_patches/low\S05\patch39.png,S05,low
580,./image_patches/low\S05\patch40.png,S05,low
581,./image_patches/low\S05\patch41.png,S05,low
