,filedir,S_id,label
3825,./image_patches/high\S27\patch177.png,S27,high
524,./image_patches/low\S05\patch102.png,S05,low
2923,./image_patches/optimal\S23\patch17.png,S23,optimal
1753,./image_patches/low\S13\patch93.png,S13,low
3613,./image_patches/high\S26\patch197.png,S26,high
1266,./image_patches/low\S10\patch195.png,S10,low
2550,./image_patches/optimal\S20\patch45.png,S20,optimal
4536,./image_patches/high\S32\patch37.png,S32,high
1658,./image_patches/low\S13\patch113.png,S13,low
1573,./image_patches/low\S12\patch39.png,S12,low
2104,./image_patches/optimal\S16\patch89.png,S16,optimal
3023,./image_patches/optimal\S23\patch82.png,S23,optimal
1448,./image_patches/low\S11\patch40.png,S11,low
3127,./image_patches/high\S24\patch17.png,S24,high
1264,./image_patches/low\S10\patch193.png,S10,low
4310,./image_patches/high\S30\patch67.png,S30,high
130,./image_patches/low\S02\patch03.png,S02,low
4278,./image_patches/high\S30\patch35.png,S30,high
421,./image_patches/low\S04\patch125.png,S04,low
370,./image_patches/low\S03\patch86.png,S03,low
1537,./image_patches/low\S12\patch118.png,S12,low
2688,./image_patches/optimal\S21\patch67.png,S21,optimal
160,./image_patches/low\S02\patch120.png,S02,low
2002,./image_patches/optimal\S16\patch03.png,S16,optimal
196,./image_patches/low\S02\patch40.png,S02,low
1760,./image_patches/low\S14\patch01.png,S14,low
807,./image_patches/low\S07\patch127.png,S07,low
958,./image_patches/low\S08\patch34.png,S08,low
2491,./image_patches/optimal\S20\patch03.png,S20,optimal
1009,./image_patches/low\S08\patch85.png,S08,low
3569,./image_patches/high\S26\patch157.png,S26,high
2124,./image_patches/optimal\S17\patch10.png,S17,optimal
3307,./image_patches/high\S25\patch126.png,S25,high
2838,./image_patches/optimal\S23\patch02.png,S23,optimal
3550,./image_patches/high\S26\patch14.png,S26,high
2970,./image_patches/optimal\S23\patch29.png,S23,optimal
4671,./image_patches/high\S33\patch44.png,S33,high
2562,./image_patches/optimal\S20\patch57.png,S20,optimal
1114,./image_patches/low\S09\patch62.png,S09,low
4408,./image_patches/high\S31\patch37.png,S31,high
3090,./image_patches/high\S24\patch136.png,S24,high
254,./image_patches/low\S02\patch98.png,S02,low
846,./image_patches/low\S07\patch50.png,S07,low
4014,./image_patches/high\S28\patch27.png,S28,high
1853,./image_patches/low\S14\patch66.png,S14,low
2510,./image_patches/optimal\S20\patch110.png,S20,optimal
2770,./image_patches/optimal\S22\patch33.png,S22,optimal
1121,./image_patches/low\S09\patch69.png,S09,low
4734,./image_patches/high\S34\patch08.png,S34,high
1454,./image_patches/low\S11\patch46.png,S11,low
3433,./image_patches/high\S25\patch36.png,S25,high
1606,./image_patches/low\S12\patch72.png,S12,low
4708,./image_patches/high\S33\patch81.png,S33,high
194,./image_patches/low\S02\patch38.png,S02,low
2466,./image_patches/optimal\S19\patch77.png,S19,optimal
96,./image_patches/low\S01\patch68.png,S01,low
274,./image_patches/low\S03\patch108.png,S03,low
1430,./image_patches/low\S11\patch22.png,S11,low
3964,./image_patches/high\S28\patch06.png,S28,high
3126,./image_patches/high\S24\patch169.png,S24,high
4795,./image_patches/high\S34\patch40.png,S34,high
2724,./image_patches/optimal\S22\patch04.png,S22,optimal
4300,./image_patches/high\S30\patch57.png,S30,high
4704,./image_patches/high\S33\patch77.png,S33,high
1585,./image_patches/low\S12\patch51.png,S12,low
1672,./image_patches/low\S13\patch126.png,S13,low
2315,./image_patches/optimal\S18\patch50.png,S18,optimal
52,./image_patches/low\S01\patch24.png,S01,low
4705,./image_patches/high\S33\patch78.png,S33,high
651,./image_patches/low\S06\patch101.png,S06,low
908,./image_patches/low\S08\patch102.png,S08,low
4825,./image_patches/high\S34\patch70.png,S34,high
3760,./image_patches/high\S27\patch118.png,S27,high
4171,./image_patches/high\S29\patch56.png,S29,high
2965,./image_patches/optimal\S23\patch24.png,S23,optimal
266,./image_patches/low\S03\patch100.png,S03,low
896,./image_patches/low\S08\patch01.png,S08,low
1946,./image_patches/optimal\S15\patch46.png,S15,optimal
53,./image_patches/low\S01\patch25.png,S01,low
4533,./image_patches/high\S32\patch34.png,S32,high
1144,./image_patches/low\S09\patch92.png,S09,low
3612,./image_patches/high\S26\patch196.png,S26,high
3583,./image_patches/high\S26\patch17.png,S26,high
2179,./image_patches/optimal\S17\patch39.png,S17,optimal
512,./image_patches/low\S05\patch01.png,S05,low
3627,./image_patches/high\S26\patch21.png,S26,high
1782,./image_patches/low\S14\patch111.png,S14,low
3495,./image_patches/high\S25\patch98.png,S25,high
4541,./image_patches/high\S32\patch42.png,S32,high
4400,./image_patches/high\S31\patch29.png,S31,high
1627,./image_patches/low\S12\patch93.png,S12,low
4471,./image_patches/high\S32\patch01.png,S32,high
3420,./image_patches/high\S25\patch23.png,S25,high
55,./image_patches/low\S01\patch27.png,S01,low
568,./image_patches/low\S05\patch28.png,S05,low
4539,./image_patches/high\S32\patch40.png,S32,high
2894,./image_patches/optimal\S23\patch143.png,S23,optimal
2003,./image_patches/optimal\S16\patch04.png,S16,optimal
4417,./image_patches/high\S31\patch46.png,S31,high
3654,./image_patches/high\S26\patch234.png,S26,high
2451,./image_patches/optimal\S19\patch62.png,S19,optimal
775,./image_patches/low\S07\patch08.png,S07,low
1831,./image_patches/low\S14\patch44.png,S14,low
672,./image_patches/low\S06\patch120.png,S06,low
1002,./image_patches/low\S08\patch78.png,S08,low
4376,./image_patches/high\S31\patch121.png,S31,high
3851,./image_patches/high\S27\patch200.png,S27,high
419,./image_patches/low\S04\patch123.png,S04,low
2464,./image_patches/optimal\S19\patch75.png,S19,optimal
590,./image_patches/low\S05\patch50.png,S05,low
172,./image_patches/low\S02\patch16.png,S02,low
1556,./image_patches/low\S12\patch22.png,S12,low
1859,./image_patches/low\S14\patch72.png,S14,low
2311,./image_patches/optimal\S18\patch46.png,S18,optimal
411,./image_patches/low\S04\patch116.png,S04,low
2330,./image_patches/optimal\S18\patch65.png,S18,optimal
1728,./image_patches/low\S13\patch68.png,S13,low
4164,./image_patches/high\S29\patch49.png,S29,high
3808,./image_patches/high\S27\patch161.png,S27,high
2081,./image_patches/optimal\S16\patch66.png,S16,optimal
935,./image_patches/low\S08\patch127.png,S08,low
1972,./image_patches/optimal\S15\patch72.png,S15,optimal
4156,./image_patches/high\S29\patch41.png,S29,high
4147,./image_patches/high\S29\patch32.png,S29,high
3758,./image_patches/high\S27\patch116.png,S27,high
2533,./image_patches/optimal\S20\patch28.png,S20,optimal
2297,./image_patches/optimal\S18\patch32.png,S18,optimal
3097,./image_patches/high\S24\patch142.png,S24,high
4299,./image_patches/high\S30\patch56.png,S30,high
4195,./image_patches/high\S29\patch80.png,S29,high
3934,./image_patches/high\S27\patch75.png,S27,high
1161,./image_patches/low\S10\patch10.png,S10,low
633,./image_patches/low\S05\patch93.png,S05,low
1473,./image_patches/low\S11\patch65.png,S11,low
3102,./image_patches/high\S24\patch147.png,S24,high
2480,./image_patches/optimal\S19\patch91.png,S19,optimal
1273,./image_patches/low\S10\patch201.png,S10,low
120,./image_patches/low\S01\patch92.png,S01,low
4496,./image_patches/high\S32\patch114.png,S32,high
1274,./image_patches/low\S10\patch202.png,S10,low
1483,./image_patches/low\S11\patch75.png,S11,low
3981,./image_patches/high\S28\patch111.png,S28,high
3559,./image_patches/high\S26\patch148.png,S26,high
325,./image_patches/low\S03\patch41.png,S03,low
3936,./image_patches/high\S27\patch77.png,S27,high
1762,./image_patches/low\S14\patch03.png,S14,low
2804,./image_patches/optimal\S22\patch67.png,S22,optimal
1681,./image_patches/low\S13\patch21.png,S13,low
1948,./image_patches/optimal\S15\patch48.png,S15,optimal
1436,./image_patches/low\S11\patch28.png,S11,low
2214,./image_patches/optimal\S17\patch74.png,S17,optimal
2173,./image_patches/optimal\S17\patch33.png,S17,optimal
3608,./image_patches/high\S26\patch192.png,S26,high
2060,./image_patches/optimal\S16\patch45.png,S16,optimal
1886,./image_patches/low\S14\patch99.png,S14,low
4488,./image_patches/high\S32\patch107.png,S32,high
4176,./image_patches/high\S29\patch61.png,S29,high
1765,./image_patches/low\S14\patch06.png,S14,low
2720,./image_patches/optimal\S21\patch99.png,S21,optimal
4259,./image_patches/high\S30\patch16.png,S30,high
2263,./image_patches/optimal\S18\patch112.png,S18,optimal
3838,./image_patches/high\S27\patch189.png,S27,high
1706,./image_patches/low\S13\patch46.png,S13,low
406,./image_patches/low\S04\patch111.png,S04,low
4655,./image_patches/high\S33\patch28.png,S33,high
2386,./image_patches/optimal\S19\patch110.png,S19,optimal
3391,./image_patches/high\S25\patch202.png,S25,high
71,./image_patches/low\S01\patch43.png,S01,low
4418,./image_patches/high\S31\patch47.png,S31,high
4130,./image_patches/high\S29\patch15.png,S29,high
1234,./image_patches/low\S10\patch166.png,S10,low
4158,./image_patches/high\S29\patch43.png,S29,high
4379,./image_patches/high\S31\patch124.png,S31,high
3471,./image_patches/high\S25\patch74.png,S25,high
4784,./image_patches/high\S34\patch29.png,S34,high
955,./image_patches/low\S08\patch31.png,S08,low
4545,./image_patches/high\S32\patch46.png,S32,high
1044,./image_patches/low\S09\patch11.png,S09,low
1133,./image_patches/low\S09\patch81.png,S09,low
4798,./image_patches/high\S34\patch43.png,S34,high
3025,./image_patches/optimal\S23\patch84.png,S23,optimal
2138,./image_patches/optimal\S17\patch112.png,S17,optimal
750,./image_patches/low\S06\patch82.png,S06,low
2504,./image_patches/optimal\S20\patch105.png,S20,optimal
1930,./image_patches/optimal\S15\patch30.png,S15,optimal
1911,./image_patches/optimal\S15\patch113.png,S15,optimal
3565,./image_patches/high\S26\patch153.png,S26,high
1646,./image_patches/low\S13\patch102.png,S13,low
1592,./image_patches/low\S12\patch58.png,S12,low
223,./image_patches/low\S02\patch67.png,S02,low
2651,./image_patches/optimal\S21\patch30.png,S21,optimal
1994,./image_patches/optimal\S15\patch94.png,S15,optimal
2066,./image_patches/optimal\S16\patch51.png,S16,optimal
4783,./image_patches/high\S34\patch28.png,S34,high
1102,./image_patches/low\S09\patch50.png,S09,low
4577,./image_patches/high\S32\patch78.png,S32,high
1296,./image_patches/low\S10\patch222.png,S10,low
4219,./image_patches/high\S30\patch05.png,S30,high
204,./image_patches/low\S02\patch48.png,S02,low
2471,./image_patches/optimal\S19\patch82.png,S19,optimal
2644,./image_patches/optimal\S21\patch23.png,S21,optimal
2684,./image_patches/optimal\S21\patch63.png,S21,optimal
1621,./image_patches/low\S12\patch87.png,S12,low
4595,./image_patches/high\S32\patch96.png,S32,high
1991,./image_patches/optimal\S15\patch91.png,S15,optimal
1925,./image_patches/optimal\S15\patch25.png,S15,optimal
174,./image_patches/low\S02\patch18.png,S02,low
4600,./image_patches/high\S33\patch02.png,S33,high
1168,./image_patches/low\S10\patch106.png,S10,low
4828,./image_patches/high\S34\patch73.png,S34,high
75,./image_patches/low\S01\patch47.png,S01,low
4284,./image_patches/high\S30\patch41.png,S30,high
83,./image_patches/low\S01\patch55.png,S01,low
3206,./image_patches/high\S24\patch37.png,S24,high
931,./image_patches/low\S08\patch123.png,S08,low
473,./image_patches/low\S04\patch61.png,S04,low
923,./image_patches/low\S08\patch116.png,S08,low
3586,./image_patches/high\S26\patch172.png,S26,high
3322,./image_patches/high\S25\patch14.png,S25,high
1290,./image_patches/low\S10\patch217.png,S10,low
912,./image_patches/low\S08\patch106.png,S08,low
321,./image_patches/low\S03\patch37.png,S03,low
3827,./image_patches/high\S27\patch179.png,S27,high
1302,./image_patches/low\S10\patch228.png,S10,low
310,./image_patches/low\S03\patch26.png,S03,low
883,./image_patches/low\S07\patch87.png,S07,low
1830,./image_patches/low\S14\patch43.png,S14,low
1904,./image_patches/optimal\S15\patch107.png,S15,optimal
1981,./image_patches/optimal\S15\patch81.png,S15,optimal
2759,./image_patches/optimal\S22\patch22.png,S22,optimal
3680,./image_patches/high\S26\patch49.png,S26,high
3266,./image_patches/high\S24\patch97.png,S24,high
1064,./image_patches/low\S09\patch128.png,S09,low
4744,./image_patches/high\S34\patch107.png,S34,high
1435,./image_patches/low\S11\patch27.png,S11,low
3730,./image_patches/high\S26\patch99.png,S26,high
4526,./image_patches/high\S32\patch27.png,S32,high
3459,./image_patches/high\S25\patch62.png,S25,high
2070,./image_patches/optimal\S16\patch55.png,S16,optimal
2523,./image_patches/optimal\S20\patch18.png,S20,optimal
3592,./image_patches/high\S26\patch178.png,S26,high
469,./image_patches/low\S04\patch57.png,S04,low
3806,./image_patches/high\S27\patch16.png,S27,high
1188,./image_patches/low\S10\patch124.png,S10,low
88,./image_patches/low\S01\patch60.png,S01,low
4372,./image_patches/high\S31\patch118.png,S31,high
4152,./image_patches/high\S29\patch37.png,S29,high
2995,./image_patches/optimal\S23\patch54.png,S23,optimal
4367,./image_patches/high\S31\patch113.png,S31,high
3159,./image_patches/high\S24\patch199.png,S24,high
448,./image_patches/low\S04\patch36.png,S04,low
1182,./image_patches/low\S10\patch119.png,S10,low
3223,./image_patches/high\S24\patch54.png,S24,high
4706,./image_patches/high\S33\patch79.png,S33,high
736,./image_patches/low\S06\patch68.png,S06,low
3896,./image_patches/high\S27\patch37.png,S27,high
2013,./image_patches/optimal\S16\patch103.png,S16,optimal
4401,./image_patches/high\S31\patch30.png,S31,high
3060,./image_patches/high\S24\patch109.png,S24,high
4188,./image_patches/high\S29\patch73.png,S29,high
1059,./image_patches/low\S09\patch123.png,S09,low
4199,./image_patches/high\S29\patch84.png,S29,high
2861,./image_patches/optimal\S23\patch113.png,S23,optimal
655,./image_patches/low\S06\patch105.png,S06,low
4765,./image_patches/high\S34\patch126.png,S34,high
4472,./image_patches/high\S32\patch02.png,S32,high
1523,./image_patches/low\S12\patch105.png,S12,low
3118,./image_patches/high\S24\patch161.png,S24,high
3915,./image_patches/high\S27\patch56.png,S27,high
1685,./image_patches/low\S13\patch25.png,S13,low
1379,./image_patches/low\S10\patch99.png,S10,low
4073,./image_patches/high\S28\patch86.png,S28,high
705,./image_patches/low\S06\patch37.png,S06,low
1811,./image_patches/low\S14\patch24.png,S14,low
2962,./image_patches/optimal\S23\patch21.png,S23,optimal
3202,./image_patches/high\S24\patch33.png,S24,high
3217,./image_patches/high\S24\patch48.png,S24,high
3899,./image_patches/high\S27\patch40.png,S27,high
4780,./image_patches/high\S34\patch25.png,S34,high
1791,./image_patches/low\S14\patch12.png,S14,low
975,./image_patches/low\S08\patch51.png,S08,low
2484,./image_patches/optimal\S19\patch95.png,S19,optimal
803,./image_patches/low\S07\patch123.png,S07,low
1767,./image_patches/low\S14\patch08.png,S14,low
4837,./image_patches/high\S34\patch82.png,S34,high
2642,./image_patches/optimal\S21\patch21.png,S21,optimal
2046,./image_patches/optimal\S16\patch31.png,S16,optimal
4609,./image_patches/high\S33\patch100.png,S33,high
854,./image_patches/low\S07\patch58.png,S07,low
4236,./image_patches/high\S30\patch110.png,S30,high
4523,./image_patches/high\S32\patch24.png,S32,high
2334,./image_patches/optimal\S18\patch69.png,S18,optimal
3989,./image_patches/high\S28\patch119.png,S28,high
298,./image_patches/low\S03\patch14.png,S03,low
1101,./image_patches/low\S09\patch49.png,S09,low
270,./image_patches/low\S03\patch104.png,S03,low
480,./image_patches/low\S04\patch68.png,S04,low
595,./image_patches/low\S05\patch55.png,S05,low
956,./image_patches/low\S08\patch32.png,S08,low
2052,./image_patches/optimal\S16\patch37.png,S16,optimal
1151,./image_patches/low\S09\patch99.png,S09,low
967,./image_patches/low\S08\patch43.png,S08,low
74,./image_patches/low\S01\patch46.png,S01,low
3043,./image_patches/high\S24\patch03.png,S24,high
2987,./image_patches/optimal\S23\patch46.png,S23,optimal
4346,./image_patches/high\S31\patch04.png,S31,high
3521,./image_patches/high\S26\patch113.png,S26,high
4134,./image_patches/high\S29\patch19.png,S29,high
394,./image_patches/low\S04\patch100.png,S04,low
1019,./image_patches/low\S08\patch95.png,S08,low
1081,./image_patches/low\S09\patch29.png,S09,low
2588,./image_patches/optimal\S20\patch83.png,S20,optimal
721,./image_patches/low\S06\patch53.png,S06,low
1152,./image_patches/low\S10\patch01.png,S10,low
3504,./image_patches/high\S26\patch08.png,S26,high
76,./image_patches/low\S01\patch48.png,S01,low
2423,./image_patches/optimal\S19\patch34.png,S19,optimal
1754,./image_patches/low\S13\patch94.png,S13,low
4054,./image_patches/high\S28\patch67.png,S28,high
513,./image_patches/low\S05\patch02.png,S05,low
1066,./image_patches/low\S09\patch14.png,S09,low
1725,./image_patches/low\S13\patch65.png,S13,low
2404,./image_patches/optimal\S19\patch15.png,S19,optimal
1472,./image_patches/low\S11\patch64.png,S11,low
2925,./image_patches/optimal\S23\patch171.png,S23,optimal
1563,./image_patches/low\S12\patch29.png,S12,low
2807,./image_patches/optimal\S22\patch70.png,S22,optimal
1126,./image_patches/low\S09\patch74.png,S09,low
894,./image_patches/low\S07\patch98.png,S07,low
1243,./image_patches/low\S10\patch174.png,S10,low
3572,./image_patches/high\S26\patch16.png,S26,high
983,./image_patches/low\S08\patch59.png,S08,low
984,./image_patches/low\S08\patch60.png,S08,low
3172,./image_patches/high\S24\patch210.png,S24,high
2411,./image_patches/optimal\S19\patch22.png,S19,optimal
25,./image_patches/low\S01\patch114.png,S01,low
2322,./image_patches/optimal\S18\patch57.png,S18,optimal
4340,./image_patches/high\S30\patch97.png,S30,high
4592,./image_patches/high\S32\patch93.png,S32,high
180,./image_patches/low\S02\patch24.png,S02,low
4330,./image_patches/high\S30\patch87.png,S30,high
3643,./image_patches/high\S26\patch224.png,S26,high
1350,./image_patches/low\S10\patch70.png,S10,low
3814,./image_patches/high\S27\patch167.png,S27,high
1501,./image_patches/low\S11\patch93.png,S11,low
2180,./image_patches/optimal\S17\patch40.png,S17,optimal
1357,./image_patches/low\S10\patch77.png,S10,low
603,./image_patches/low\S05\patch63.png,S05,low
2710,./image_patches/optimal\S21\patch89.png,S21,optimal
4110,./image_patches/high\S29\patch112.png,S29,high
4520,./image_patches/high\S32\patch21.png,S32,high
615,./image_patches/low\S05\patch75.png,S05,low
2537,./image_patches/optimal\S20\patch32.png,S20,optimal
483,./image_patches/low\S04\patch71.png,S04,low
8,./image_patches/low\S01\patch09.png,S01,low
3029,./image_patches/optimal\S23\patch88.png,S23,optimal
4550,./image_patches/high\S32\patch51.png,S32,high
2478,./image_patches/optimal\S19\patch89.png,S19,optimal
3,./image_patches/low\S01\patch04.png,S01,low
4697,./image_patches/high\S33\patch70.png,S33,high
3380,./image_patches/high\S25\patch192.png,S25,high
3637,./image_patches/high\S26\patch219.png,S26,high
3088,./image_patches/high\S24\patch134.png,S24,high
1392,./image_patches/low\S11\patch102.png,S11,low
2964,./image_patches/optimal\S23\patch23.png,S23,optimal
821,./image_patches/low\S07\patch25.png,S07,low
1902,./image_patches/optimal\S15\patch105.png,S15,optimal
1208,./image_patches/low\S10\patch142.png,S10,low
3745,./image_patches/high\S27\patch104.png,S27,high
4018,./image_patches/high\S28\patch31.png,S28,high
1024,./image_patches/low\S09\patch01.png,S09,low
487,./image_patches/low\S04\patch75.png,S04,low
3706,./image_patches/high\S26\patch75.png,S26,high
181,./image_patches/low\S02\patch25.png,S02,low
961,./image_patches/low\S08\patch37.png,S08,low
1885,./image_patches/low\S14\patch98.png,S14,low
115,./image_patches/low\S01\patch87.png,S01,low
2702,./image_patches/optimal\S21\patch81.png,S21,optimal
4075,./image_patches/high\S28\patch88.png,S28,high
999,./image_patches/low\S08\patch75.png,S08,low
187,./image_patches/low\S02\patch31.png,S02,low
2846,./image_patches/optimal\S23\patch10.png,S23,optimal
4103,./image_patches/high\S29\patch106.png,S29,high
718,./image_patches/low\S06\patch50.png,S06,low
1111,./image_patches/low\S09\patch59.png,S09,low
4039,./image_patches/high\S28\patch52.png,S28,high
1931,./image_patches/optimal\S15\patch31.png,S15,optimal
4194,./image_patches/high\S29\patch79.png,S29,high
3942,./image_patches/high\S27\patch83.png,S27,high
452,./image_patches/low\S04\patch40.png,S04,low
4724,./image_patches/high\S33\patch97.png,S33,high
1125,./image_patches/low\S09\patch73.png,S09,low
2661,./image_patches/optimal\S21\patch40.png,S21,optimal
2941,./image_patches/optimal\S23\patch186.png,S23,optimal
407,./image_patches/low\S04\patch112.png,S04,low
2129,./image_patches/optimal\S17\patch104.png,S17,optimal
2979,./image_patches/optimal\S23\patch38.png,S23,optimal
1566,./image_patches/low\S12\patch32.png,S12,low
919,./image_patches/low\S08\patch112.png,S08,low
2208,./image_patches/optimal\S17\patch68.png,S17,optimal
788,./image_patches/low\S07\patch11.png,S07,low
4456,./image_patches/high\S31\patch85.png,S31,high
4492,./image_patches/high\S32\patch110.png,S32,high
1269,./image_patches/low\S10\patch198.png,S10,low
1719,./image_patches/low\S13\patch59.png,S13,low
1442,./image_patches/low\S11\patch34.png,S11,low
4713,./image_patches/high\S33\patch86.png,S33,high
3947,./image_patches/high\S27\patch88.png,S27,high
4844,./image_patches/high\S34\patch89.png,S34,high
257,./image_patches/low\S03\patch02.png,S03,low
2750,./image_patches/optimal\S22\patch13.png,S22,optimal
2766,./image_patches/optimal\S22\patch29.png,S22,optimal
20,./image_patches/low\S01\patch11.png,S01,low
21,./image_patches/low\S01\patch110.png,S01,low
2788,./image_patches/optimal\S22\patch51.png,S22,optimal
2733,./image_patches/optimal\S22\patch102.png,S22,optimal
4432,./image_patches/high\S31\patch61.png,S31,high
2465,./image_patches/optimal\S19\patch76.png,S19,optimal
1011,./image_patches/low\S08\patch87.png,S08,low
1498,./image_patches/low\S11\patch90.png,S11,low
4058,./image_patches/high\S28\patch71.png,S28,high
2620,./image_patches/optimal\S21\patch105.png,S21,optimal
2207,./image_patches/optimal\S17\patch67.png,S17,optimal
4098,./image_patches/high\S29\patch101.png,S29,high
209,./image_patches/low\S02\patch53.png,S02,low
3101,./image_patches/high\S24\patch146.png,S24,high
3600,./image_patches/high\S26\patch185.png,S26,high
3446,./image_patches/high\S25\patch49.png,S25,high
982,./image_patches/low\S08\patch58.png,S08,low
2559,./image_patches/optimal\S20\patch54.png,S20,optimal
159,./image_patches/low\S02\patch12.png,S02,low
151,./image_patches/low\S02\patch112.png,S02,low
2145,./image_patches/optimal\S17\patch119.png,S17,optimal
3884,./image_patches/high\S27\patch25.png,S27,high
36,./image_patches/low\S01\patch124.png,S01,low
4273,./image_patches/high\S30\patch30.png,S30,high
3339,./image_patches/high\S25\patch155.png,S25,high
90,./image_patches/low\S01\patch62.png,S01,low
1120,./image_patches/low\S09\patch68.png,S09,low
2235,./image_patches/optimal\S17\patch95.png,S17,optimal
1996,./image_patches/optimal\S15\patch96.png,S15,optimal
1722,./image_patches/low\S13\patch62.png,S13,low
4207,./image_patches/high\S29\patch92.png,S29,high
361,./image_patches/low\S03\patch77.png,S03,low
4029,./image_patches/high\S28\patch42.png,S28,high
1256,./image_patches/low\S10\patch186.png,S10,low
2966,./image_patches/optimal\S23\patch25.png,S23,optimal
34,./image_patches/low\S01\patch122.png,S01,low
3167,./image_patches/high\S24\patch206.png,S24,high
4193,./image_patches/high\S29\patch78.png,S29,high
972,./image_patches/low\S08\patch48.png,S08,low
66,./image_patches/low\S01\patch38.png,S01,low
3973,./image_patches/high\S28\patch104.png,S28,high
4569,./image_patches/high\S32\patch70.png,S32,high
731,./image_patches/low\S06\patch63.png,S06,low
545,./image_patches/low\S05\patch121.png,S05,low
168,./image_patches/low\S02\patch128.png,S02,low
1625,./image_patches/low\S12\patch91.png,S12,low
1244,./image_patches/low\S10\patch175.png,S10,low
578,./image_patches/low\S05\patch38.png,S05,low
822,./image_patches/low\S07\patch26.png,S07,low
2233,./image_patches/optimal\S17\patch93.png,S17,optimal
4729,./image_patches/high\S34\patch03.png,S34,high
2479,./image_patches/optimal\S19\patch90.png,S19,optimal
4579,./image_patches/high\S32\patch80.png,S32,high
2939,./image_patches/optimal\S23\patch184.png,S23,optimal
738,./image_patches/low\S06\patch70.png,S06,low
1737,./image_patches/low\S13\patch77.png,S13,low
3777,./image_patches/high\S27\patch133.png,S27,high
2814,./image_patches/optimal\S22\patch77.png,S22,optimal
193,./image_patches/low\S02\patch37.png,S02,low
741,./image_patches/low\S06\patch73.png,S06,low
460,./image_patches/low\S04\patch48.png,S04,low
565,./image_patches/low\S05\patch25.png,S05,low
2714,./image_patches/optimal\S21\patch93.png,S21,optimal
1667,./image_patches/low\S13\patch121.png,S13,low
4035,./image_patches/high\S28\patch48.png,S28,high
3951,./image_patches/high\S27\patch92.png,S27,high
1554,./image_patches/low\S12\patch20.png,S12,low
3525,./image_patches/high\S26\patch117.png,S26,high
1696,./image_patches/low\S13\patch36.png,S13,low
2593,./image_patches/optimal\S20\patch88.png,S20,optimal
3941,./image_patches/high\S27\patch82.png,S27,high
3355,./image_patches/high\S25\patch17.png,S25,high
1702,./image_patches/low\S13\patch42.png,S13,low
4151,./image_patches/high\S29\patch36.png,S29,high
2448,./image_patches/optimal\S19\patch59.png,S19,optimal
1093,./image_patches/low\S09\patch41.png,S09,low
145,./image_patches/low\S02\patch107.png,S02,low
436,./image_patches/low\S04\patch24.png,S04,low
644,./image_patches/low\S06\patch05.png,S06,low
2006,./image_patches/optimal\S16\patch07.png,S16,optimal
2610,./image_patches/optimal\S21\patch06.png,S21,optimal
3416,./image_patches/high\S25\patch225.png,S25,high
1107,./image_patches/low\S09\patch55.png,S09,low
2241,./image_patches/optimal\S18\patch02.png,S18,optimal
4303,./image_patches/high\S30\patch60.png,S30,high
3468,./image_patches/high\S25\patch71.png,S25,high
4678,./image_patches/high\S33\patch51.png,S33,high
4527,./image_patches/high\S32\patch28.png,S32,high
2591,./image_patches/optimal\S20\patch86.png,S20,optimal
823,./image_patches/low\S07\patch27.png,S07,low
802,./image_patches/low\S07\patch122.png,S07,low
3829,./image_patches/high\S27\patch180.png,S27,high
3452,./image_patches/high\S25\patch55.png,S25,high
3937,./image_patches/high\S27\patch78.png,S27,high
4518,./image_patches/high\S32\patch19.png,S32,high
